name;url;average_product_count;latest_product_count;latest_timestamp_CEST
14'' Laptops;https://www.medion.com/at/shop/laptops/14-zoll;4,0;4;2026-09-09 20:38:43
14'' Laptops;https://www.medion.com/de/shop/laptops/14-zoll;4,0;4;2026-09-09 20:38:43
15'' Laptops;https://www.medion.com/at/shop/laptops/15-zoll;2,0;2;2026-09-09 20:38:43
15'' Laptops;https://www.medion.com/de/shop/laptops/15-zoll;2,0;2;2026-09-09 20:38:43
16'' Laptops;https://www.medion.com/at/shop/laptops/16-zoll;161,0;0;2026-09-09 20:38:43
16'' Laptops;https://www.medion.com/de/shop/laptops/16-zoll;176,86;0;2026-09-09 20:38:43
17'' Laptops;https://www.medion.com/at/shop/laptops/17-zoll;6,0;6;2026-09-09 20:38:43
17'' Laptops;https://www.medion.com/de/shop/laptops/17-zoll;6,0;6;2026-09-09 20:38:43
18'' Laptops;https://www.medion.com/at/shop/laptops/18-zoll;1,0;1;2026-09-09 20:38:43
18'' Laptops;https://www.medion.com/de/shop/laptops/18-zoll;1,0;1;2026-09-09 20:38:43
4K UHD TVs;https://www.medion.com/at/shop/tv/4k-uhd;14,0;14;2026-09-09 20:38:43
4K UHD TVs;https://www.medion.com/de/shop/tv/4k-uhd;36,0;36;2026-09-09 20:38:43
AMD Ryzen;https://www.medion.com/at/shop/laptops/amd-ryzen;4,0;4;2026-09-09 20:38:43
AMD Ryzen;https://www.medion.com/de/shop/laptops/amd-ryzen;4,0;4;2026-09-09 20:38:43
Akku-Stielstaubsauger;https://www.medion.com/at/shop/akku-stielstaubsauger;8,0;8;2026-09-09 20:38:43
Akku-Stielstaubsauger;https://www.medion.com/de/shop/akku-stielstaubsauger;8,0;8;2026-09-09 20:38:43
Akoya PCs;https://www.medion.com/at/shop/akoya-pcs;1,0;1;2026-09-09 20:38:43
Akoya PCs;https://www.medion.com/de/shop/akoya-pcs;1,0;1;2026-09-09 20:38:43
Alexa;https://www.medion.com/at/shop/alexa;11,0;11;2026-09-09 20:38:43
Alexa;https://www.medion.com/de/shop/alexa;11,0;11;2026-09-09 20:38:43
Alexa Haushalt;https://www.medion.com/at/shop/haushalt-alexa;11,0;11;2026-09-09 20:38:43
Alexa Haushalt;https://www.medion.com/de/shop/haushalt-alexa;11,0;11;2026-09-09 20:38:43
All-in-One-PCs;https://www.medion.com/at/shop/all-in-one-pc;2,0;2;2026-09-09 20:38:43
All-in-One-PCs;https://www.medion.com/de/shop/pc/all-in-one;2,0;2;2026-09-09 20:38:43
Alle Audio Produkte;https://www.medion.com/at/shop/audio-alle;65,0;65;2026-09-09 20:38:43
Alle Audio Produkte;https://www.medion.com/de/shop/audio/alle;65,0;65;2026-09-09 20:38:43
Alle Gaming Produkte;https://www.medion.com/at/shop/gaming-alle;35,43;36;2026-09-09 20:38:43
Alle Gaming Produkte;https://www.medion.com/de/shop/gaming/alle;36,43;37;2026-09-09 20:38:43
Alle Haushalt- und Freizeit-Produkte;https://www.medion.com/at/shop/haushalt-freizeit-alle;53,0;53;2026-09-09 20:38:43
